-0.76,0.0
-0.78,0.0
-0.76,0.0
-0.73,0.0
-0.75,0.0
-0.7,0.0
-0.75,51.0
-0.72,37.0
-0.76,-46.0
-0.72,-167.0
-0.69,-221.0
-0.74,-315.0
-0.73,-394.0
-0.73,-479.0
-0.74,-321.0
-0.78,94.0
-0.69,543.0
-0.74,676.0
-0.78,624.0
-0.76,595.0
-0.78,595.0
-0.73,595.0
-0.67,595.0
-0.67,595.0
-0.73,595.0
-0.73,595.0
3.3,595.0
5.86,595.0
8.97,595.0
8.99,595.0
9.28,595.0
2.56,595.0
-3.43,595.0
-7.04,595.0
-5.65,595.0
2.28,595.0
3.53,595.0
-0.39,595.0
-0.3,595.0
-0.35,595.0
-0.4,595.0
-0.39,595.0
